Product Type,Item Name,Catalog Number,Cost,Quantity,Website,Total
Consumable,0.1 - 10uL TipOne Natural Tip in Racks,1111-3800,$30.20 ,1,usascientific.com,42002.71
Consumable,200 ul TipOne yellow tip in racks,1111-0806,$50.20 ,1,usascientific.com,
Consumable,1000 ul TipOne graduated blue tip in racks,1111-2821,$30.85 ,1,usascientific.com,
Consumable,"0.2 ml TempAssure PCR tube, attached dome cap, natural",1402-4300,$44.85 ,1,usascientific.com,
Consumable,"Celltreat 229411 Polypropylene Centrifuge Tube, Sterile, 15mL Volume, Re-Sealable Bag (Case of 500)",N/A,$72.22 ,1,amazon.com,
Consumable,"Celltreat 229420 Polypropylene Centrifuge Tube, Sterile, 50mL Volume, Paperboard Rack (Case of 500)",N/A,$85.71 ,1,amazon.com,
Consumable,"Seal-Rite 1.5 ml microcentrifuge tube, natural",1615-5500,$14.20 ,1,usascientific.com,
Consumable,NitraStretch - Blue Gloves,NB940,$6.99 ,10,topqualitygloves.com,
Consumable,Nest Scientific 753001 Polystyrene Petri Dish,753001,$87.00 ,1,amazon.com,
Consumable,"Parafilm M Roll, 250' Length x 2"" Width",H234526A,$26.56 ,1,amazon.com,
Consumable,"Celltreat 229616 Polypropylene L-Shaped Cell Spreader, Sterile, 145mm Length, Green (Case of 100)",229616,$35.39 ,1,amazon.com,
Consumable,Ef Chlor (NaDCC) – Portable Water Purification Tablets,N/A,$49.88 ,1,amazon.com,
Consumable,Mel cm-240 Hydrion Chlorine Dispenser 10-200 PPM Test Roll Plus Extra Roll,N/A,$4.35 ,1,amazon.com,
Consumable,J R Peters Jacks Classic No.1.5 20-20-20 All Purpose Fertilizer,52024,$16.05 ,1,amazon.com,
Equipment,H1000-M Incu-Shaker™ Mini (MM-Q416),H1000-M,"$2,375.75 ",1,scientific.katsent.com,
Equipment,Aardvark HighSpeed Personal Microcentrifuge,SCARD12,$729 ,1,southwestsceince.com,
Equipment,"80-place tube rack, mixed neon colors",2380-1048,$27.30 ,1,usascientific.com,
Equipment,"32"" Nucleic acid workstation with filtration",4263-2588,"$3,245.70 ",1,usascientific.com,
Equipment,SimpliAmp™ Thermal Cycler,A27930,"$4,495 ",1,thermofisher.com,
Equipment,Mini-Run Gel Electrophoresis System,BMR100,$250.00 ,1,bulldog-bio.com,
Equipment,Apera Instruments MP511 Benchtop pH Meter,AI511,$378.23 ,1,amazon.com,
Equipment,U.S. SOLID 0.001g 1mg Analytical Digital Lab Precision Balance Scale 300g,USS-DBS15-3,$227.59 ,1,amazon.com,
Equipment,"Fristaden Lab SH-4C Digital Magnetic Stirrer Hot Plate, Ceramic Plate 5L ",SH-4C,$289.00 ,1,amazon.com,
Equipment,"Panasonic NN-SD945S  Microwave with Inverter Technology, 2.2 cu. ft.",NN-SD945S,$239.94 ,1,amazon.com,
Equipment,"PI-1000: PrepOne™ Sapphire², 100-240V*",PI-1000,$550.00 ,1,embitec.com,
Equipment,"Quincy Lab 12-140E Digital Acrylic Door Incubator, 2 Cu. Ft. Capacity, 115V",12-140E,$684.62 ,1,amazon.com,
Equipment,ELMI DOS-10M Digital Orbital Shaker,SHKR-03,$611.35 ,1,amazon.com,
Equipment,Scientific Industries Vortex-Genie,G560,$295.00 ,1,amazon.com,
Equipment,Eppendorf 6 Pack Pipette Starter Kit,EP-START,"$1,881.50 ",1,pipette.com,
Equipment,Oxford Nanopore MinION Sequencer Enhanced,N/A,"$4,999.00 ",1,nanoporetech.com,
Equipment,1L Ice Pan,9172-6101,$15.00 ,1,usascientific.com,
Equipment,Pestle for 1.5 ml microcentrifuge tubes,1415-5390,$60.55 ,1,usascientific.com,
Equipment,Qubit™ 4 Quantitation Starter Kit,Q33227,"$3,395.00 ",1,thermofisher.com,
Equipment,"Hamilton Beach Portable Ice Maker, Black with Stainless Steel",PIM-1-1A,$108.56 ,1,amazon.com,
Equipment,3-Tier SunLite® Garden Grow Rack System,39-357,$599.00 ,1,gardeners.com,
Reagent,Murashige & Skoog Basal Medium with Vitamins,M519,28.97,1,phytotechlab.com,
Reagent,"2,4-Dichlorophenoxyacetic (2,4-D) Acid Solution (1 mg/mL)",D295,$15.04 ,1,phytotechlab.com,
Reagent,Kinetin Solution (1 mg/mL),K483,$15.04 ,1,phytotechlab.com,
Reagent,6-Benzylaminopurine (BA) Solution (1 mg/mL),B130,$15.04 ,1,phytotechlab.com,
Reagent,Indole-3-Acetic Acid Solution (1 mg/mL),I364,$15.04 ,1,phytotechlab.com,
Reagent,α-Naphthaleneacetic Acid (NAA) Solution (1 mg/mL),N605,$15.04 ,1,phytotechlab.com,
Reagent,GELGREEN NUCLEIC ACID GEL STAIN,41005,$105.00 ,1,biotium.com,
Reagent,ElectroMAX™ A. tumefaciens LBA4404 Cells ,18313-015,$362.00 ,1,thermofisher.com,
Reagent,NEB® Turbo Competent E. coli (High Efficiency),C29841,$192.00 ,1,neb.com,
Reagent,TriDye™ 2-Log DNA Ladder (0.1 - 10.0 kb),N3270S,$76.00 ,1,neb.com,
Reagent,TriDye™ 100 bp DNA Ladder,N3271S,$87.00 ,1,neb.com,
Reagent,TriDye™ 1 kb DNA Ladder,N3272S,$64.00 ,1,neb.com,
Reagent,"Gel Loading Dye, Purple (6X)",B7024S,$42.00 ,1,neb.com,
Reagent,"Buffer Solution, pH 10.0",B237,$18.33 ,1,phytotechlab.com,
Reagent,"Buffer Solution, pH 4.0",B235,$18.33 ,1,phytotechlab.com,
Reagent,"Buffer Solution, pH 7.0",B236,$18.33 ,1,phytotechlab.com,
Reagent,Gelzan™ (Gelrite),714244,$69.00 ,1,plantmedia.com,
Reagent,"Luria-Bertani (LB) Broth, Miller",30620044-2,$117.50 ,1,bio-world.com,
Reagent,"Agar, High Gel Strength",401000064-1,$128.70 ,1,bio-world.com,
Reagent,Ampicillin,A116,$48.50 ,1,phytotechlab.com,
Reagent,Hygromycin B Solution (100 mg/mL in Water),H385,$102.60 ,1,phytotechlab.com,
Reagent,Kanamycin Solution (100 mg/mL),K4751,$12.20 ,1,phytotechlab.com,
